group,year,month,day,time,title,detail,url,type,color,rowNumber,End Year,end_month,end_day,end_time,display_date,image_url,image_credit
映画,1970,,,,M★A★S★H マッシュ(56),,,,,103,,,,,,,
映画,1970,,,,パットン大戦車軍団(89),,,,,104,,,,,,,
映画,1971,,,,時計じかけのオレンジ(46),,,,,105,,,,,,,
映画,1971,,,,フレンチ・コネクション(70),,,,,106,,,,,,,
映画,1972,,,,ゴッドファーザー(3),,,,,107,,,,,,,
映画,1973,,,,アメリカン・グラフィティ(77),,,,,108,,,,,,,
映画,1974,,,,チャイナタウン(19),,,,,109,,,,,,,
映画,1974,,,,ゴッドファーザー PART II(32),,,,,110,,,,,,,
映画,1975,,,,カッコーの巣の上で(20),,,,,111,,,,,,,
映画,1975,,,,ジョーズ(48),,,,,112,,,,,,,
映画,1976,,,,タクシードライバー(47),,,,,113,,,,,,,
映画,1976,,,,ネットワーク(66),,,,,114,,,,,,,
映画,1976,,,,ロッキー(78),,,,,115,,,,,,,
映画,1977,,,,スター・ウォーズ(15),,,,,116,,,,,,,
映画,1977,,,,アニー・ホール(31),,,,,117,,,,,,,
映画,1977,,,,未知との遭遇(64),,,,,118,,,,,,,
映画,1978,,,,ディア・ハンター(79),,,,,119,,,,,,,
映画,1979,,,,地獄の黙示録(28),,,,,120,,,,,,,
映画,1980,,,,レイジング・ブル(24),,,,,121,,,,,,,
映画,1981,,,,レイダース/失われたアーク《聖櫃》(60),,,,,122,,,,,,,
映画,1982,,,,E.T.(25),,,,,123,,,,,,,
映画,1982,,,,トッツィー(62),,,,,124,,,,,,,
映画,1984,,,,アマデウス(53),,,,,125,,,,,,,
映画,1986,,,,プラトーン(83),,,,,126,,,,,,,
映画,1990,,,,ダンス・ウィズ・ウルブズ(75),,,,,127,,,,,,,
映画,1990,,,,グッドフェローズ(94),,,,,128,,,,,,,
映画,1991,,,,羊たちの沈黙(65),,,,,129,,,,,,,
映画,1992,,,,許されざる者(98),,,,,130,,,,,,,
映画,1993,,,,シンドラーのリスト(9),,,,,131,,,,,,,
映画,1994,,,,フォレスト・ガンプ/一期一会(71),,,,,132,,,,,,,
映画,1994,,,,パルプ・フィクション(95),,,,,133,,,,,,,
映画,1996,,,,ファーゴ(84),,,,,134,,,,,,,
